Model,Train_MAE,Val_MAE,Test_MAE,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Val_MAPE
Ridge Regression,87.7990086133699,98.0601035134787,100.15839087843608,258.34317353323866,167.14652193975851,271.3879544183279,0.395178932638494,0.5561686394367151,0.4586776017316544,125.21752535991837
Random Forest,22.13331080398791,44.16620456887237,47.402434383397654,174.62163839028457,104.9238454473716,205.67123747440962,0.7236693572657957,0.8251072946532444,0.6890990963213068,16.199030766873452
XGBoost,18.46928204007529,36.55593230015934,36.033415639626625,40.76151164762703,69.62685017083065,107.70756157837819,0.9849431718772038,0.9229847383857901,0.914735696275453,34.592864640127125
